DEALER	PLAYER	   STAND	    HIT	          DOUBLE	PROBABILITY
6	9,7	-0.157459	-0.425490	-0.850980	0.00091915
6	9,8	0.008284	-0.504679	-1.009359	0.00091915
6	10,A	1.500000	0.334921	0.669843	0.00367661
6	10,2	-0.154694	-0.168756	-0.337513	0.00367661
6	10,3	-0.154326	-0.234633	-0.469267	0.00367661
6	10,4	-0.153984	-0.301960	-0.603919	0.00367661
6	10,5	-0.153670	-0.369292	-0.738584	0.00367661
6	10,6	-0.157516	-0.425431	-0.850861	0.00352341
6	10,7	0.008330	-0.504644	-1.009287	0.00367661
6	10,8	0.281026	-0.604067	-1.208133	0.00367661
6	10,9	0.494123	-0.720056	-1.440112	0.00367661
7	2,A	-0.473185	0.120174	-0.179483	0.00091915
7	3,A	-0.472861	0.076540	-0.182241	0.00091915
7	3,2	-0.474287	-0.119481	-0.948574	0.00091915
7	4,A	-0.472512	0.036406	-0.177160	0.00091915
7	4,2	-0.473947	-0.153746	-0.890224	0.00091915
7	4,3	-0.473622	-0.069120	-0.581824	0.00091915
7	5,A	-0.473968	-0.007882	-0.184344	0.00091915
7	5,2	-0.475404	-0.068651	-0.585406	0.00091915
7	5,3	-0.475079	0.083844	-0.178613	0.00091915
7	5,4	-0.474737	0.176299	0.118144	0.00091915
7	6,A	-0.103826	0.054706	-0.008857	0.00091915
7	6,2	-0.476165	0.083939	-0.180927	0.00091915
7	6,3	-0.475838	0.176073	0.115952	0.00091915
7	6,4	-0.475523	0.261579	0.406015	0.00091915
7	6,5	-0.476977	0.293411	0.469748	0.00091915
7	7,A	0.401861	0.171872	0.223664	0.00088085
7	7,2	-0.476858	0.174276	0.113595	0.00088085
7	7,3	-0.476558	0.260334	0.401418	0.00088085
7	7,4	-0.476217	0.292868	0.467648	0.00088085
7	7,5	-0.477672	-0.219577	-0.518149	0.00088085
7	7,6	-0.478433	-0.278428	-0.606515	0.00088085
7	8,A	0.615734	0.220956	0.320560	0.00091915
7	8,2	-0.477422	0.258576	0.396342	0.00091915
7	8,3	-0.477096	0.292164	0.464533	0.00091915
7	8,4	-0.476756	-0.217934	-0.515629	0.00091915
7	8,5	-0.478210	-0.278145	-0.605877	0.00091915
7	8,6	-0.478975	-0.325493	-0.678337	0.00091915
7	8,7	-0.479635	-0.362547	-0.735710	0.00088085
7	9,A	0.773273	0.254647	0.385938	0.00091915
7	9,2	-0.478284	0.291741	0.461868	0.00091915
7	9,3	-0.477959	-0.218241	-0.518061	0.00091915
7	9,4	-0.477619	-0.269781	-0.589288	0.00091915
7	9,5	-0.479075	-0.325412	-0.677253	0.00091915
7	9,6	-0.479801	-0.368743	-0.748137	0.00091915
7	9,7	-0.480503	-0.408432	-0.816865	0.00088085
7	9,8	-0.109730	-0.478075	-0.956150	0.00091915
7	10,A	1.500000	0.291217	0.463763	0.00367661
7	10,2	-0.474935	-0.212638	-0.504855	0.00367661
7	10,3	-0.474609	-0.269267	-0.586650	0.00367661
7	10,4	-0.474271	-0.324567	-0.674240	0.00367661
7	10,5	-0.475708	-0.368927	-0.746864	0.00367661
7	10,6	-0.476476	-0.408624	-0.817247	0.00367661
7	10,7	-0.108885	-0.478380	-0.956760	0.00352341
7	10,8	0.397743	-0.587340	-1.174681	0.00367661
7	10,9	0.615047	-0.712756	-1.425513	0.00367661
8	2,A	-0.510013	0.051835	-0.314099	0.00091915
8	3,A	-0.509664	0.016478	-0.305060	0.00091915
8	3,2	-0.510907	-0.187166	-1.021815	0.00091915
8	4,A	-0.511097	-0.028404	-0.314303	0.00091915
8	4,2	-0.512340	-0.219720	-1.004683	0.00091915
8	4,3	-0.512000	-0.213278	-0.847352	0.00091915
8	5,A	-0.511033	-0.069392	-0.317151	0.00091915
8	5,2	-0.512277	-0.211671	-0.847888	0.00091915
8	5,3	-0.511935	-0.059455	-0.448044	0.00091915
8	5,4	-0.513391	0.099920	-0.021689	0.00091915
8	6,A	-0.382583	-0.071750	-0.251340	0.00091915
8	6,2	-0.512931	-0.059214	-0.449931	0.00091915
8	6,3	-0.512615	0.101203	-0.020122	0.00091915
8	6,4	-0.514046	0.199620	0.291603	0.00091915
8	6,5	-0.513980	0.230173	0.353456	0.00091915
8	7,A	0.108057	0.041028	-0.028189	0.00091915
8	7,2	-0.513537	0.099741	-0.021682	0.00091915
8	7,3	-0.513196	0.200742	0.292600	0.00091915
8	7,4	-0.514627	0.228786	0.349099	0.00091915
8	7,5	-0.514561	-0.279202	-0.630474	0.00091915
8	7,6	-0.515221	-0.334678	-0.714750	0.00091915
8	8,A	0.595896	0.152904	0.193997	0.00088085
8	8,2	-0.514402	0.199178	0.287564	0.00088085
8	8,3	-0.514062	0.228561	0.347405	0.00088085
8	8,4	-0.515493	-0.279058	-0.631948	0.00088085
8	8,5	-0.515429	-0.333494	-0.712504	0.00088085
8	8,6	-0.516050	-0.371477	-0.767559	0.00088085
8	8,7	-0.516638	-0.410942	-0.831472	0.00088085
8	9,A	0.790658	0.193713	0.277473	0.00091915
8	9,2	-0.511055	0.227615	0.346979	0.00091915
8	9,3	-0.510715	-0.278647	-0.629649	0.00091915
8	9,4	-0.512148	-0.326010	-0.696199	0.00091915
8	9,5	-0.512065	-0.371556	-0.765428	0.00091915
8	9,6	-0.512728	-0.417413	-0.843769	0.00091915
8	9,7	-0.513316	-0.453627	-0.907253	0.00091915
8	9,8	-0.387487	-0.501194	-1.002387	0.00088085
8	10,A	1.500000	0.228515	0.347788	0.00367661
8	10,2	-0.511634	-0.272002	-0.617342	0.00367661
8	10,3	-0.511295	-0.324425	-0.693347	0.00367661
8	10,4	-0.512708	-0.369606	-0.761980	0.00367661
8	10,5	-0.512647	-0.416910	-0.841853	0.00367661
8	10,6	-0.513309	-0.453130	-0.906261	0.00367661
8	10,7	-0.384233	-0.500967	-1.001934	0.00367661
8	10,8	0.104057	-0.586989	-1.173977	0.00352341
8	10,9	0.591091	-0.711065	-1.422130	0.00367661
9	2,A	-0.539111	-0.034089	-0.443187	0.00091915
9	3,A	-0.540547	-0.072746	-0.446362	0.00091915
9	3,2	-0.541573	-0.265989	-1.083146	0.00091915
9	4,A	-0.540464	-0.112418	-0.450958	0.00091915
9	4,2	-0.541491	-0.294528	-1.064329	0.00091915
9	4,3	-0.542924	-0.288453	-0.955318	0.00091915
9	5,A	-0.540365	-0.151418	-0.455770	0.00091915
9	5,2	-0.541389	-0.285443	-0.952282	0.00091915
9	5,3	-0.542848	-0.211386	-0.715741	0.00091915
9	5,4	-0.542763	-0.052189	-0.297410	0.00091915
9	6,A	-0.420578	-0.147268	-0.392162	0.00091915
9	6,2	-0.542034	-0.209881	-0.714108	0.00091915
9	6,3	-0.543467	-0.052030	-0.298867	0.00091915
9	6,4	-0.543383	0.116739	0.147751	0.00091915
9	6,5	-0.543281	0.157414	0.230031	0.00091915
9	7,A	-0.182640	-0.098469	-0.284825	0.00091915
9	7,2	-0.542861	-0.052171	-0.297011	0.00091915
9	7,3	-0.544295	0.116689	0.145776	0.00091915
9	7,4	-0.544211	0.156869	0.227194	0.00091915
9	7,5	-0.544111	-0.347763	-0.751490	0.00091915
9	7,6	-0.544695	-0.392092	-0.817609	0.00091915
9	8,A	0.287618	0.007442	-0.071161	0.00091915
9	8,2	-0.539517	0.116883	0.148698	0.00091915
9	8,3	-0.540951	0.155339	0.225746	0.00091915
9	8,4	-0.540869	-0.348743	-0.752669	0.00091915
9	8,5	-0.540750	-0.391310	-0.814270	0.00091915
9	8,6	-0.541376	-0.431821	-0.879484	0.00091915
9	8,7	-0.542209	-0.467044	-0.939621	0.00091915
9	9,A	0.759490	0.113198	0.138523	0.00088085
9	9,2	-0.540098	0.155832	0.225459	0.00088085
9	9,3	-0.541534	-0.348220	-0.753666	0.00088085
9	9,4	-0.541432	-0.383661	-0.800017	0.00088085
9	9,5	-0.541334	-0.430167	-0.875363	0.00088085
9	9,6	-0.541961	-0.472812	-0.951189	0.00088085
9	9,7	-0.542794	-0.504993	-1.009985	0.00088085
9	9,8	-0.421286	-0.550164	-1.100327	0.00088085
9	10,A	1.500000	0.156681	0.225894	0.00367661
9	10,2	-0.540641	-0.340701	-0.738846	0.00367661
9	10,3	-0.542057	-0.382712	-0.798989	0.00367661
9	10,4	-0.541976	-0.428224	-0.872084	0.00367661
9	10,5	-0.541878	-0.472187	-0.949023	0.00367661
